,APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,STATUS,INCOME_AMT,SPECIAL_CONSIDERATIONS,IS_SUCCESSFUL,ASK_AMT_BIN
22002,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,5000
22003,T3,CompanySponsored,C2000,Preservation,Trust,1,25000-99999,N,1,50000
22004,T3,Independent,C1200,Preservation,Association,1,10000-24999,N,1,50000
22005,T3,Independent,C1200,Preservation,Trust,1,10000-24999,N,1,Other
22006,T3,CompanySponsored,Other,Preservation,Trust,1,0,N,1,5000
22007,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
22008,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,1,5000
22009,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
22010,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
22011,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
22012,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,1000000
22013,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22014,T4,CompanySponsored,C3000,Preservation,Association,1,0,N,0,5000
22015,T7,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
22016,T3,Independent,C2000,Preservation,Trust,1,5M-10M,N,0,Other
22017,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,1,Other
22018,T6,Independent,C2000,ProductDev,Trust,1,1M-5M,N,1,Other
22019,T4,Independent,C3000,ProductDev,Trust,1,0,N,1,5000
22020,T3,Independent,C1200,Preservation,Trust,1,1M-5M,N,0,Other
22021,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22022,T4,CompanySponsored,C3000,Preservation,Association,1,0,N,0,5000
22023,T3,Independent,Other,Preservation,Trust,1,25000-99999,N,1,1000000
22024,T3,Independent,C2100,Preservation,Trust,1,25000-99999,N,0,Other
22025,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,0,1000000
22026,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,5000
22027,T3,CompanySponsored,C1000,Preservation,Trust,1,1M-5M,N,0,Other
22028,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
22029,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,0,5000
22030,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22031,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
22032,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22033,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,1,5000
22034,T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,1,5000
22035,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
22036,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,1000000
22037,T3,Independent,Other,Preservation,Trust,1,25000-99999,N,0,50000
22038,T7,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
22039,T3,Independent,Other,Preservation,Trust,1,100000-499999,N,1,1000000
22040,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22041,T3,Independent,C1000,Preservation,Trust,1,1-9999,N,1,Other
22042,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22043,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
22044,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22045,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22046,T3,Independent,Other,Preservation,Trust,1,100000-499999,N,1,1000000
22047,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22048,T3,Independent,C2000,Preservation,Trust,1,1M-5M,N,0,Other
22049,T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,1,1000000
22050,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,1,5000
22051,T4,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
22052,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22053,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
22054,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22055,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,1000000
22056,T3,Independent,C1200,Preservation,Trust,1,0,N,0,5000
22057,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22058,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
22059,T8,Independent,C1000,Preservation,Association,1,0,N,0,5000
22060,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
22061,T3,CompanySponsored,C2100,CommunityServ,Association,1,0,N,0,5000
22062,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22063,T3,CompanySponsored,C1200,CommunityServ,Trust,1,0,N,0,5000
22064,T3,CompanySponsored,Other,Preservation,Association,1,0,N,0,5000
22065,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
22066,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
22067,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
22068,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22069,T7,Independent,C1000,ProductDev,Association,1,0,N,1,5000
22070,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22071,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
22072,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
22073,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
22074,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,1000000
22075,T3,CompanySponsored,C2100,Preservation,Association,1,0,N,0,5000
22076,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22077,T19,Independent,C1000,ProductDev,Trust,1,0,N,0,5000
22078,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22079,T19,Independent,C1000,ProductDev,Association,1,0,N,1,5000
22080,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,1000000
22081,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
22082,T3,Independent,C1000,Preservation,Trust,1,1-9999,N,1,5000
22083,T5,Independent,C3000,ProductDev,Trust,1,0,N,0,5000
22084,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,1000000
22085,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,1,5000
22086,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,1,5000
22087,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,1,5000
22088,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,1,5000
22089,T4,Independent,C3000,ProductDev,Trust,1,0,N,0,5000
22090,T3,Independent,C1000,Preservation,Association,1,0,N,0,5000
22091,T3,CompanySponsored,C1200,Preservation,Trust,1,100000-499999,N,0,1000000
22092,T4,CompanySponsored,C3000,Preservation,Co-operative,1,100000-499999,N,0,1000000
22093,T3,CompanySponsored,C2000,Preservation,Association,1,100000-499999,N,1,1000000
22094,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
22095,T3,CompanySponsored,C1000,Preservation,Trust,1,25000-99999,N,0,1000000
22096,T5,Independent,C1000,ProductDev,Co-operative,1,0,N,1,5000
22097,T8,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
22098,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
22099,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,1,5000
22100,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,5000
22101,T6,Independent,C2000,ProductDev,Trust,1,100000-499999,N,0,1000000
22102,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
22103,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
22104,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,1,5000
22105,T4,CompanySponsored,Other,ProductDev,Trust,1,25000-99999,N,0,Other
22106,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,1,5000
22107,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
22108,T3,Independent,C1200,Preservation,Trust,1,0,N,0,5000
22109,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
22110,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
22111,T3,CompanySponsored,C1200,Preservation,Association,1,25000-99999,N,1,1000000
22112,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
22113,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
22114,T3,CompanySponsored,C1000,Preservation,Association,1,25000-99999,N,0,1000000
22115,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,1,5000
22116,T4,Independent,C2000,ProductDev,Trust,1,25000-99999,N,0,1000000
22117,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
22118,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
22119,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
22120,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
22121,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
22122,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
22123,T3,CompanySponsored,C2000,Preservation,Association,1,25000-99999,N,0,Other
22124,T3,CompanySponsored,C1200,Preservation,Trust,1,25000-99999,N,0,1000000
22125,T19,Independent,C1000,Preservation,Association,1,0,N,0,5000
22126,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
22127,T4,CompanySponsored,C3000,ProductDev,Association,1,25000-99999,N,1,1000000
22128,T3,CompanySponsored,C1200,Preservation,Association,1,100000-499999,N,1,1000000
22129,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,1,5000
22130,T5,CompanySponsored,C3000,ProductDev,Association,1,100000-499999,N,1,1000000
22131,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
22132,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
22133,T7,Independent,C1000,ProductDev,Trust,1,0,N,0,5000
22134,T7,Independent,C1000,ProductDev,Trust,1,0,N,0,5000
22135,T7,Independent,C1000,ProductDev,Trust,1,0,N,0,5000
22136,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,1,5000
22137,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
22138,T3,CompanySponsored,C1000,Preservation,Association,1,25000-99999,N,0,1000000
22139,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
22140,T5,CompanySponsored,C3000,ProductDev,Association,1,25000-99999,N,1,5000
22141,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
22142,T3,CompanySponsored,Other,Preservation,Association,1,100000-499999,N,1,1000000
22143,T4,Independent,C3000,ProductDev,Association,1,0,N,0,5000
22144,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
22145,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,5000
22146,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
22147,T19,CompanySponsored,C1000,Preservation,Association,1,25000-99999,N,0,1000000
22148,T19,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,1000000
22149,T4,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
22150,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
22151,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
22152,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,0,50000
22153,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
22154,T3,CompanySponsored,C1000,Preservation,Trust,1,25000-99999,N,0,50000
22155,T5,CompanySponsored,C3000,ProductDev,Association,1,25000-99999,N,1,50000
22156,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
22157,T5,CompanySponsored,C3000,ProductDev,Association,1,100000-499999,N,1,Other
22158,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,5000
22159,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,0,5000
22160,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
22161,T3,CompanySponsored,C1000,Preservation,Association,1,25000-99999,N,1,5000
22162,T3,CompanySponsored,C1000,Preservation,Trust,1,25000-99999,N,0,50000
22163,T3,Independent,C1000,Preservation,Co-operative,1,1M-5M,N,0,Other
22164,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
22165,T3,Independent,C1000,Preservation,Co-operative,1,1-9999,N,1,1000000
22166,T3,Independent,C1000,Preservation,Co-operative,1,100000-499999,N,0,1000000
22167,Other,Independent,C1000,ProductDev,Co-operative,1,0,N,1,5000
22168,Other,Independent,C1000,ProductDev,Co-operative,1,1-9999,N,1,50000
22169,Other,Independent,C1000,ProductDev,Trust,1,25000-99999,N,1,Other
22170,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,Other
22171,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
22172,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
22173,T6,CompanySponsored,C2000,CommunityServ,Trust,1,0,N,0,5000
22174,T6,Independent,C2000,ProductDev,Trust,1,1M-5M,N,0,Other
22175,T3,Independent,C1000,Preservation,Association,1,25000-99999,N,0,50000
22176,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
22177,T6,Independent,C2000,ProductDev,Trust,1,25000-99999,N,1,50000
22178,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
22179,T3,Independent,Other,Preservation,Association,1,0,N,1,5000
22180,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,5000
22181,T3,Independent,C1200,Preservation,Trust,1,0,N,0,5000
22182,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22183,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
22184,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
22185,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
22186,T6,CompanySponsored,C2000,ProductDev,Trust,1,0,N,1,5000
22187,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22188,T6,CompanySponsored,C2000,ProductDev,Trust,1,0,N,1,5000
22189,T3,Independent,Other,Preservation,Trust,1,0,N,0,5000
22190,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,1,5000
22191,T6,CompanySponsored,C2000,ProductDev,Trust,1,0,N,1,5000
22192,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,0,1000000
22193,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22194,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
22195,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
22196,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
22197,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,5000
22198,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
22199,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,5000
22200,T3,CompanySponsored,C1000,Preservation,Trust,1,25000-99999,N,0,5000
22201,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
22202,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
22203,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
22204,T7,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
22205,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
22206,Other,Independent,C1000,ProductDev,Co-operative,1,1M-5M,N,0,5000
22207,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
22208,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,50000
22209,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22210,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
22211,T3,Independent,C1000,Preservation,Association,1,0,N,0,5000
22212,T3,CompanySponsored,C1000,CommunityServ,Trust,1,0,N,0,5000
22213,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
22214,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
22215,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
22216,T3,CompanySponsored,C1000,CommunityServ,Trust,1,0,N,0,5000
22217,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22218,T8,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
22219,T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,0,1000000
22220,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,5000
22221,T6,Independent,C2000,ProductDev,Trust,1,25000-99999,N,1,1000000
22222,T4,Independent,C2000,ProductDev,Trust,1,25000-99999,N,0,1000000
22223,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
22224,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22225,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,50000
22226,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
22227,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,1,5000
22228,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,1,5000
22229,T6,CompanySponsored,C2000,ProductDev,Association,1,25000-99999,N,1,50000
22230,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,1,5000
22231,T3,Independent,Other,Preservation,Trust,1,0,N,0,5000
22232,T6,CompanySponsored,C1000,ProductDev,Association,1,0,N,1,5000
22233,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
22234,T3,Independent,C2000,Preservation,Trust,1,0,N,0,5000
22235,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
22236,T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,1,1000000
22237,T3,CompanySponsored,C1000,Preservation,Trust,1,1-9999,N,1,5000
22238,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
22239,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22240,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
22241,T3,Independent,C2100,Preservation,Trust,1,0,N,1,5000
22242,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
22243,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,1,5000
22244,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
22245,T4,Independent,C3000,ProductDev,Association,1,25000-99999,N,1,Other
22246,T3,Independent,C2000,Preservation,Trust,1,1M-5M,N,0,Other
22247,T8,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
22248,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22249,T19,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
22250,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
22251,T8,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
22252,T7,Independent,C1000,ProductDev,Association,1,0,N,0,5000
22253,T7,CompanySponsored,C1000,ProductDev,Trust,1,0,N,1,5000
22254,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
22255,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22256,T4,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
22257,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
22258,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22259,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22260,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,1000000
22261,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22262,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,5000
22263,T10,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
22264,T4,CompanySponsored,C2000,ProductDev,Association,1,0,N,1,5000
22265,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
22266,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
22267,T19,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22268,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
22269,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
22270,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
22271,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22272,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
22273,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
22274,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
22275,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
22276,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
22277,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
22278,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
22279,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22280,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
22281,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,1000000
22282,T5,Independent,C3000,ProductDev,Association,1,0,N,0,5000
22283,T3,Independent,Other,Preservation,Trust,1,10000-24999,N,0,50000
22284,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
22285,T6,CompanySponsored,C2000,ProductDev,Trust,1,0,N,1,5000
22286,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
22287,T6,Independent,C3000,ProductDev,Trust,1,100000-499999,N,0,1000000
22288,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
22289,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,1,5000
22290,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
22291,T3,CompanySponsored,C2100,Preservation,Association,1,0,N,0,5000
22292,T3,CompanySponsored,C2100,Preservation,Association,1,0,N,0,5000
22293,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22294,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
22295,T6,Independent,C1000,ProductDev,Association,1,0,N,0,5000
22296,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,5000
22297,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
22298,T3,Independent,C2000,Preservation,Association,1,0,N,0,5000
22299,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
22300,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22301,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
22302,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,5000
22303,T7,Independent,C1000,ProductDev,Trust,1,0,N,0,5000
22304,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
22305,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
22306,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
22307,T6,CompanySponsored,C2000,ProductDev,Trust,1,0,N,1,5000
22308,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,5000
22309,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
22310,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
22311,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,50000
22312,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
22313,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
22314,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
22315,T8,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
22316,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,0,5000
22317,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
22318,T19,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
22319,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
22320,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,50000
22321,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22322,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22323,T10,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
22324,T4,Independent,C3000,ProductDev,Trust,1,0,N,1,5000
22325,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,5000
22326,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
22327,T3,CompanySponsored,C2100,Preservation,Association,1,0,N,0,5000
22328,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
22329,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
22330,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
22331,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,0,5000
22332,T3,CompanySponsored,C2100,Preservation,Association,1,0,N,0,5000
22333,T3,CompanySponsored,Other,Preservation,Association,1,0,N,0,5000
22334,T3,Independent,C1000,Preservation,Association,1,0,N,1,5000
22335,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
22336,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
22337,T3,CompanySponsored,C1200,Preservation,Trust,1,25000-99999,N,0,50000
22338,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,5000
22339,T10,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
22340,T10,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
22341,T3,Independent,C1200,Preservation,Trust,1,0,N,0,5000
22342,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
22343,T7,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
22344,T5,Independent,C3000,ProductDev,Trust,1,100000-499999,N,0,1000000
22345,T3,CompanySponsored,Other,Preservation,Association,1,0,N,0,5000
22346,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,1,50000
22347,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,0,5000
22348,T19,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
22349,T3,Independent,C1000,Preservation,Trust,1,1-9999,N,1,5000
22350,T3,CompanySponsored,C2100,Preservation,Trust,1,100000-499999,N,0,1000000
22351,T3,Independent,C1000,Preservation,Trust,1,1-9999,N,1,5000
22352,T3,Independent,C1200,Preservation,Trust,1,1-9999,N,1,50000
22353,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,0,5000
22354,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
22355,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
22356,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
22357,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
22358,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
22359,T3,CompanySponsored,C2100,Preservation,Association,1,0,N,0,5000
22360,T3,CompanySponsored,C2100,Preservation,Association,1,0,N,0,5000
22361,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
22362,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22363,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,5000
22364,T3,Independent,C1000,Preservation,Trust,1,1-9999,N,1,5000
22365,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
22366,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22367,T3,CompanySponsored,C2100,Preservation,Association,1,0,N,0,5000
22368,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
22369,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
22370,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,0,5000
22371,T7,CompanySponsored,C1000,ProductDev,Association,1,0,N,1,5000
22372,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
22373,T3,Independent,C1200,Preservation,Trust,1,0,N,0,5000
22374,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,0,5000
22375,T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,0,1000000
